Timestamp,Serial Number,Name,Mode,Alarm,rH,Temp
2023-01-13 17:41:56,1092,Leads Film,STATE,RESET,0.9,12,
2023-01-13 12:21:51,1092,Leads Film,STATE,RESET,0.7,13.1,
2023-01-13 07:01:56,1092,Leads Film,STATE,RESET,0.7,11.3,
2023-01-13 01:42:02,1092,Leads Film,STATE,RESET,0.7,11.7,
2023-01-12 20:22:02,1092,Leads Film,STATE,RESET,0.9,12.4,
2023-01-12 15:01:59,1092,Leads Film,STATE,RESET,0.8,12.7,
2023-01-12 09:41:58,1092,Leads Film,STATE,RESET,0.7,12,
2023-01-12 04:21:59,1092,Leads Film,STATE,RESET,1,11.7,
2023-01-11 23:01:59,1092,Leads Film,STATE,RESET,0.8,12,
2023-01-11 17:41:52,1092,Leads Film,STATE,RESET,0.9,12.7,
2023-01-11 12:21:37,1092,Leads Film,STATE,RESET,0.8,14.5,
2023-01-11 01:41:26,1092,Leads Film,STATE,RESET,0.8,12,
2023-01-10 20:21:21,1092,Leads Film,STATE,RESET,0.7,11.7,
2023-01-10 15:01:21,1092,Leads Film,STATE,RESET,0.7,11,
2023-01-10 09:41:31,1092,Leads Film,STATE,RESET,0.9,10.6,
2023-01-10 04:21:39,1092,Leads Film,STATE,RESET,0.9,11.3,
2023-01-09 23:01:38,1092,Leads Film,STATE,RESET,1,12,
2023-01-09 17:41:43,1092,Leads Film,STATE,RESET,0.9,12.7,
2023-01-09 17:41:31,1092,Leads Film,STATE,RESET,0.9,12.7,
2023-01-09 12:21:10,1092,Leads Film,STATE,RESET,0.8,14.1,
2023-01-09 07:01:09,1092,Leads Film,STATE,RESET,0.9,11,
2023-01-09 01:41:08,1092,Leads Film,STATE,RESET,0.9,11.7,
2023-01-08 20:21:06,1092,Leads Film,STATE,RESET,0.9,12,
2023-01-08 15:00:58,1092,Leads Film,STATE,RESET,0.9,12.7,
2023-01-08 09:40:44,1092,Leads Film,STATE,RESET,0.8,11.7,
2023-01-08 04:20:40,1092,Leads Film,STATE,RESET,0.9,11.3,
2023-01-07 23:00:35,1092,Leads Film,STATE,RESET,1,11.7,
2023-01-07 17:40:32,1092,Leads Film,STATE,RESET,1,12,
2023-01-07 12:20:28,1092,Leads Film,STATE,RESET,1,12,
2023-01-07 07:00:19,1092,Leads Film,STATE,RESET,1,12.4,
2023-01-07 01:40:07,1092,Leads Film,STATE,RESET,1.1,12.7,
2023-01-06 20:19:55,1092,Leads Film,STATE,RESET,1,12.7,
2023-01-06 14:59:39,1092,Leads Film,STATE,RESET,0.9,13.4,
2023-01-06 09:39:22,1092,Leads Film,STATE,RESET,0.9,12.4,
2023-01-06 04:19:09,1092,Leads Film,STATE,RESET,1.1,12.4,
2023-01-05 22:58:54,1092,Leads Film,STATE,RESET,1.1,12.7,
2023-01-05 17:38:41,1092,Leads Film,STATE,RESET,1,12.7,
2023-01-05 12:18:27,1092,Leads Film,STATE,RESET,0.9,12.7,
2023-01-05 06:58:16,1092,Leads Film,STATE,RESET,1,12.4,
2023-01-05 01:38:05,1092,Leads Film,STATE,RESET,1.1,12.7,
2023-01-04 20:18:02,1092,Leads Film,STATE,RESET,1.1,13.1,
2023-01-04 20:17:51,1092,Leads Film,STATE,RESET,1.1,13.1,
2023-01-04 14:57:34,1092,Leads Film,STATE,RESET,0.9,13.4,
2023-01-04 09:37:15,1092,Leads Film,STATE,RESET,0.9,12.4,
2023-01-04 04:17:09,1092,Leads Film,STATE,RESET,0.8,12,
2023-01-03 22:57:07,1092,Leads Film,STATE,RESET,0.9,11.7,
2023-01-03 17:37:07,1092,Leads Film,STATE,RESET,0.9,11.7,
2023-01-03 12:17:05,1092,Leads Film,STATE,RESET,0.9,11.7,
2023-01-03 06:57:07,1092,Leads Film,STATE,RESET,1,11.3,
2023-01-03 01:37:04,1092,Leads Film,STATE,RESET,1.1,12,
2023-01-02 20:16:57,1092,Leads Film,STATE,RESET,1.2,12.4,
2023-01-02 14:56:43,1092,Leads Film,STATE,RESET,0.9,13.4,
2023-01-02 09:36:34,1092,Leads Film,STATE,RESET,1.1,12,
2023-01-02 04:16:25,1092,Leads Film,STATE,RESET,1.2,12.4,
2023-01-01 22:56:18,1092,Leads Film,STATE,RESET,1.2,12.4,
2023-01-01 17:36:07,1092,Leads Film,STATE,RESET,1.1,12.7,
2023-01-01 12:15:53,1092,Leads Film,STATE,RESET,0.9,13.1,
2023-01-01 06:55:42,1092,Leads Film,STATE,RESET,1.1,12,
2023-01-01 01:35:38,1092,Leads Film,STATE,RESET,0.9,12.4,
2022-12-31 20:15:30,1092,Leads Film,STATE,RESET,0.9,12,
2022-12-31 14:55:25,1092,Leads Film,STATE,RESET,0.8,12,
2022-12-31 09:35:23,1092,Leads Film,STATE,RESET,0.9,11.3,
2022-12-31 04:15:20,1092,Leads Film,STATE,RESET,1,11,
2022-12-30 22:55:19,1092,Leads Film,STATE,RESET,0.9,11,
2022-12-30 17:35:24,1092,Leads Film,STATE,RESET,0.8,10.6,
2022-12-30 12:15:33,1092,Leads Film,STATE,RESET,0.9,9.9,
2022-12-30 06:55:44,1092,Leads Film,STATE,RESET,0.8,10.3,
2022-12-30 01:35:49,1092,Leads Film,STATE,RESET,0.9,10.6,
2022-12-29 20:15:54,1092,Leads Film,STATE,RESET,0.9,11.3,
2022-12-29 14:55:53,1092,Leads Film,STATE,RESET,0.9,12,
2022-12-29 09:35:52,1092,Leads Film,STATE,RESET,0.9,11,
2022-12-29 04:16:01,1092,Leads Film,STATE,RESET,0.9,10.6,
2022-12-28 22:56:16,1092,Leads Film,STATE,RESET,1.1,11,
2022-12-28 22:56:08,1092,Leads Film,STATE,RESET,1.1,11,
2022-12-28 17:36:13,1092,Leads Film,STATE,RESET,0.9,10.6,
2022-12-28 12:16:20,1092,Leads Film,STATE,RESET,0.8,10.6,
2022-12-28 06:56:32,1092,Leads Film,STATE,RESET,0.9,10.3,
2022-12-28 01:36:45,1092,Leads Film,STATE,RESET,1,10.3,
2022-12-27 20:16:59,1092,Leads Film,STATE,RESET,1,10.6,
2022-12-27 14:57:09,1092,Leads Film,STATE,RESET,0.9,11,
2022-12-27 09:37:16,1092,Leads Film,STATE,RESET,0.9,10.6,
2022-12-27 04:17:18,1092,Leads Film,STATE,RESET,1.1,11.3,
2022-12-26 22:57:19,1092,Leads Film,STATE,RESET,1.2,12,
